claim,expected,derived,source,ok
  ... and Blue Ridge itself says,17940324,17940324,reference/external/brimr_surgery_2025.csv,True
UNIVERSITY OF MINNESOTA matches Blue Ridge to the dollar,16514952,16514952,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,16514952,16514952,reference/external/brimr_surgery_2025.csv,True
JOHNS HOPKINS UNIVERSITY matches Blue Ridge to the dollar,12290262,12290262,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,12290262,12290262,reference/external/brimr_surgery_2025.csv,True
COLUMBIA UNIVERSITY HEALTH SCIENCES matches Blue Ridge to the dollar,11205970,11205970,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,11205970,11205970,reference/external/brimr_surgery_2025.csv,True
CORNELL UNIVERSITY WEILL MEDICAL COLLEGE matches Blue Ridge to the dollar,10000633,10000633,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,10000633,10000633,reference/external/brimr_surgery_2025.csv,True
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL matches Blue Ridge to the dollar,7865510,7865510,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,7865510,7865510,reference/external/brimr_surgery_2025.csv,True
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY matches Blue Ridge to the dollar",7245955,7245955,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,7245955,7245955,reference/external/brimr_surgery_2025.csv,True
INDIANA UNIVERSITY matches Blue Ridge to the dollar,6633379,6633379,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,6633379,6633379,reference/external/brimr_surgery_2025.csv,True
UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS matches Blue Ridge to the dollar,5144776,5144776,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,5144776,5144776,reference/external/brimr_surgery_2025.csv,True
UNIVERSITY OF CALIFORNIA LOS ANGELES matches Blue Ridge to the dollar,7314362,7314362,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,7314362,7314362,reference/external/brimr_surgery_2025.csv,True
UNIVERSITY OF CALIFORNIA SAN DIEGO matches Blue Ridge to the dollar,9176097,9176097,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
  ... and Blue Ridge itself says,9176097,9176097,reference/external/brimr_surgery_2025.csv,True
"DUKE UNIVERSITY differs by $15,375",15375,15375,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
"UNIVERSITY OF MICHIGAN ANN ARBOR differs by $-10,795",-10795,-10795,outputs/tables/external_benchmark_brimr_surgery_2025.csv,True
"MGH Surgery, published NIH figure for 2024",35000000,35000000,reference/external/self_reported_departments_v1.csv,True
"MGH Surgery, this analysis FY2024",30750166,30750166,outputs/tables/external_benchmark_self_reported.csv,True
MGH recovery,87.9,87.9,outputs/tables/external_benchmark_self_reported.csv,True
MGH total research expenditures 2024,74000000,74000000,reference/external/self_reported_departments_v1.csv,True
NIH is 47% of MGH Surgery research spending,47,47,reference/external/self_reported_departments_v1.csv,True
Blue Ridge Vanderbilt surgery FY2025,14408389,14408389,reference/external/brimr_surgery_2025.csv,True
NIH-coded Vanderbilt University surgery FY2025,336630,336630,data/processed/award_years_annotated.parquet,True
VUMC reconstruction FY2025,10858628,10858628,data/processed/pi_departments.parquet,True
"Vanderbilt recovery, coded + reconstructed over BRIMR total",77.7,77.7,derived from the three rows above,True
NOT the figure to quote: reconstruction alone over BRIMR total,75.36,75.36,derived; kept here so the two cannot be confused,True
ranked departments in the surgery table,119,119,outputs/tables/surgery_ranking_with_mgb_FY2021_FY2025_corroborated.csv,True
"FY2025 sheet: reconstructed hospitals, excluding the roll-up",18,18,outputs/tables/surgery_ranking_with_mgb_FY2025_corroborated.csv,True
FY2025 sheet: shaded rows including the roll-up,19,19,outputs/tables/surgery_ranking_with_mgb_FY2025_corroborated.csv,True
"five-year sheet: reconstructed hospitals, excluding the roll-up",19,19,outputs/tables/surgery_ranking_with_mgb_FY2021_FY2025_corroborated.csv,True
uncoded recipients profiled,27,27,data/processed/pi_departments.parquet,True
